INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,EV1110,OPEN,PERIODIC,small,-87.703693,41.887103,ELEVATOR
FAILED,CN194029,OPEN,COMPLAINT,small,-87.649965,41.911003,SPECIAL INSPECTION PROGRAM
FAILED,CN065034,OPEN,COMPLAINT,small,-87.666100,41.753699,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.687024,41.929000,ELEVATOR
FAILED,CN063044,OPEN,PERIODIC,small,-87.647976,41.905164,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.665889,41.802587,SPECIAL TASK FORCE
FAILED,CN061014,OPEN,COMPLAINT,small,-87.667732,41.769444,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.672495,41.777056,CONSERVATION
PASSED,CN074014,COMPLIED,COMPLAINT,small,-87.664416,41.973463,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.744235,41.878163,CONSERVATION
FAILED,CN107015,OPEN,PERIODIC,small,-87.652684,41.940041,CONSERVATION
FAILED,EL0003,OPEN,COMPLAINT,small,-87.635964,41.728269,SPECIAL TASK FORCE
FAILED,NC2011,OPEN,COMPLAINT,small,-87.718740,41.787022,NEW CONSTRUCTION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.664830,41.797819,CONSERVATION
FAILED,EV1110,OPEN,PERIODIC,small,-87.643758,41.852121,ELEVATOR
FAILED,CN079023,OPEN,COMPLAINT,small,-87.583022,41.750650,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.686629,41.810113,CONSERVATION
PASSED,EL0085,COMPLIED,PERMIT,small,-87.739689,41.988457,ELECTRICAL
PASSED,EV1110,COMPLIED,PERMIT,small,-87.650759,41.883196,ELEVATOR
FAILED,CN062024,OPEN,COMPLAINT,small,-87.616554,41.696438,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.652746,41.931438,CONSERVATION
FAILED,CN105055,OPEN,PERIODIC,small,-87.694420,41.863969,CONSERVATION
FAILED,CN104025,OPEN,COMPLAINT,small,-87.714974,41.964634,CONSERVATION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.706572,41.809027,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.643316,41.765311,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.595046,41.808513,CONSERVATION
FAILED,CN104035,OPEN,COMPLAINT,small,-87.604542,41.731134,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.617990,41.678834,CONSERVATION
FAILED,EL0085,OPEN,COMPLAINT,small,-87.751919,41.951625,SPECIAL TASK FORCE
FAILED,CN015012,OPEN,COMPLAINT,small,-87.535428,41.716699,CONSERVATION
FAILED,CN067024,OPEN,COMPLAINT,small,-87.586539,41.742256,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.724970,41.846880,CONSERVATION
FAILED,CN076074,OPEN,PERIODIC,small,-87.657994,41.918147,CONSERVATION
FAILED,CN073054,OPEN,COMPLAINT,small,-87.652873,41.769483,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.772285,41.925858,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.599889,41.799555,CONSERVATION
FAILED,CN196029,COMPLIED,COMPLAINT,small,-87.733127,41.960998,CONSERVATION
FAILED,199029,OPEN,COMPLAINT,small,-87.696902,41.894301,VENTILATION
FAILED,CN063014,OPEN,COMPLAINT,small,-87.690198,41.824813,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.635156,41.837477,CONSERVATION
FAILED,EL0096,OPEN,COMPLAINT,small,-87.630250,41.790603,SIGNS
FAILED,CN190019,OPEN,PERIODIC,small,-87.763236,41.890220,CONSERVATION
FAILED,CN063014,OPEN,COMPLAINT,small,-87.621496,41.676327,CONSERVATION
FAILED,CN135016,OPEN,COMPLAINT,small,-87.628772,41.686244,CONSERVATION
FAILED,CN131036,OPEN,COMPLAINT,small,-87.773548,41.889922,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.604807,41.729778,SPECIAL INSPECTION PROGRAM
FAILED,CN136016,COMPLIED,COMPLAINT,small,-87.615272,41.677332,CONSERVATION
FAILED,CN104035,OPEN,PERIODIC,small,-87.686655,41.916187,CONSERVATION
FAILED,EL0085,OPEN,PERMIT,small,-87.635640,41.783430,ELECTRICAL
FAILED,CN061074,OPEN,COMPLAINT,small,-87.704282,41.822603,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.716472,41.865665,PLUMBING
PASSED,PL151137,COMPLIED,PERMIT,small,-87.704360,41.784321,PLUMBING
FAILED,EL0096,OPEN,COMPLAINT,small,-87.775508,41.920654,SIGNS
FAILED,CN106015,OPEN,COMPLAINT,small,-87.562213,41.721461,CONSERVATION
FAILED,CN065014,OPEN,COMPLAINT,small,-87.618254,41.749381,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.730201,41.865781,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.612385,41.695751,CONSERVATION
