INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN076024,OPEN,COMPLAINT,small,-87.561153,41.746774,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.687803,41.940729,CONSERVATION
FAILED,CN015062,OPEN,COMPLAINT,small,-87.622906,41.790957,CONSERVATION
FAILED,NC1020,OPEN,COMPLAINT,small,-87.638810,41.913473,NEW CONSTRUCTION
PASSED,VT1010,COMPLIED,PERMIT,small,-87.785277,41.913149,VENTILATION
FAILED,CN194039,OPEN,COMPLAINT,small,-87.739062,41.869656,DEMOLITION
FAILED,EV1111,OPEN,PERMIT,small,-87.644654,41.915595,ELEVATOR
FAILED,CN106015,OPEN,COMPLAINT,small,-87.652873,41.769483,CONSERVATION
FAILED,CN061014,COMPLIED,COMPLAINT,small,-87.606384,41.754597,CONSERVATION
FAILED,CN104015,COMPLIED,COMPLAINT,small,-87.662659,42.000309,CONSERVATION
FAILED,CN107035,OPEN,COMPLAINT,small,-87.644224,41.939194,SPECIAL INSPECTION PROGRAM
FAILED,EV1110,OPEN,PERMIT,small,-87.632777,41.903975,ELEVATOR
FAILED,NC2022,OPEN,COMPLAINT,small,-87.802143,41.914610,NEW CONSTRUCTION
FAILED,NC4032,OPEN,COMPLAINT,small,-87.672155,41.877645,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.689277,41.801180,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.775388,41.780058,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.683498,41.800350,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.636703,41.755336,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.781803,41.797092,CONSERVATION
FAILED,CN061014,OPEN,PERIODIC,small,-87.641305,41.872113,CONSERVATION
FAILED,CN077014,OPEN,COMPLAINT,small,-87.621413,41.712771,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.762627,41.975338,CONSERVATION
FAILED,CN062034,OPEN,COMPLAINT,small,-87.606161,41.746213,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.756512,41.882462,CONSERVATION
FAILED,VT1010,OPEN,COMPLAINT,small,-87.563792,41.758535,VENTILATION
PASSED,RF301041,COMPLIED,PERIODIC,small,-87.648457,41.768889,REFRIGERATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.688395,41.809180,CONSERVATION
FAILED,EL0096,OPEN,COMPLAINT,small,-87.585846,41.768693,SIGNS
FAILED,CN190019,OPEN,COMPLAINT,small,-87.681558,41.971761,CONSERVATION
FAILED,EL0029,OPEN,COMPLAINT,small,-87.648415,41.857325,ELECTRICAL
FAILED,CN190019,OPEN,COMPLAINT,small,-87.622965,41.808629,CONSERVATION
FAILED,PL152047,OPEN,COMPLAINT,small,-87.706890,41.779022,SPECIAL TASK FORCE
FAILED,CN197087,OPEN,COMPLAINT,small,-87.757713,41.889790,CONSERVATION
FAILED,CN104035,OPEN,COMPLAINT,small,-87.730882,41.895782,SPECIAL TASK FORCE
FAILED,CN194019,OPEN,PERIODIC,small,-87.663907,41.948518,CONSERVATION
FAILED,EL0016,OPEN,COMPLAINT,small,-87.644884,41.775655,CONSERVATION
FAILED,CN061014,OPEN,PERIODIC,small,-87.569746,41.770544,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.563735,41.755652,CONSERVATION
FAILED,CN105035,OPEN,PERIODIC,small,-87.662970,41.784066,CONSERVATION
FAILED,CN197079,OPEN,COMPLAINT,small,-87.628439,41.718452,CONSERVATION
FAILED,EL0029,OPEN,COMPLAINT,small,-87.640540,41.772430,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.669598,41.805293,CONSERVATION
FAILED,CN197089,OPEN,PERIODIC,small,-87.636181,41.896457,SPECIAL INSPECTION PROGRAM
FAILED,CN015062,COMPLIED,PERIODIC,small,-87.624677,41.886470,SPECIAL INSPECTION PROGRAM
FAILED,CN138106,OPEN,COMPLAINT,small,-87.749484,41.893915,CONSERVATION
FAILED,CN074014,OPEN,PERIODIC,small,-87.641669,41.877911,CONSERVATION
FAILED,CN101015,OPEN,PERIODIC,small,-87.765039,41.889384,SPECIAL INSPECTION PROGRAM
FAILED,CN196029,OPEN,COMPLAINT,small,-87.728933,41.883434,CONSERVATION
PASSED,VT1010,OPEN,PERMIT,small,-87.698361,41.916936,VENTILATION
PASSED,BR2080,COMPLIED,PERIODIC,small,-87.665389,41.891797,BOILER
PASSED,EL0084,COMPLIED,COMPLAINT,small,-87.640148,41.830229,ELECTRICAL
FAILED,EL0086,OPEN,COMPLAINT,small,-87.628827,41.904093,SPECIAL TASK FORCE
FAILED,CN015062,OPEN,PERIODIC,small,-87.668433,41.979943,CONSERVATION
PASSED,EV1110,OPEN,PERMIT,small,-87.620534,41.853651,ELEVATOR
FAILED,EV1110,COMPLIED,PERMIT,small,-87.618374,41.822690,ELEVATOR
PASSED,VT1010,COMPLIED,PERMIT,small,-87.648903,41.933799,VENTILATION
FAILED,CN065014,OPEN,COMPLAINT,small,-87.711598,41.895963,CONSERVATION
FAILED,CN131016,OPEN,COMPLAINT,small,-87.719062,41.939305,CONSERVATION
FAILED,CN017012,OPEN,COMPLAINT,small,-87.727041,41.805453,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.699190,42.009264,CONSERVATION
FAILED,CN104035,OPEN,COMPLAINT,small,-87.681201,41.958792,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.607239,41.700893,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.629081,41.836769,SPECIAL INSPECTION PROGRAM
FAILED,VT3020,OPEN,COMPLAINT,small,-87.745055,41.953554,VENTILATION
FAILED,CN073044,OPEN,COMPLAINT,small,-87.651753,41.773027,CONSERVATION
FAILED,NC2010,OPEN,COMPLAINT,small,-87.663174,41.780371,CONSERVATION
FAILED,CN076034,OPEN,COMPLAINT,small,-87.550249,41.747712,CONSERVATION
FAILED,CN063014,OPEN,COMPLAINT,small,-87.721258,41.892777,CONSERVATION
FAILED,CN063014,OPEN,PERIODIC,small,-87.577728,41.753293,CONSERVATION
PASSED,EV1111,COMPLIED,PERIODIC,small,-87.662048,41.869443,ELEVATOR
FAILED,CN138056,OPEN,COMPLAINT,small,-87.662779,41.766032,CONSERVATION
FAILED,CN015062,OPEN,COMPLAINT,small,-87.729903,41.920675,CONSERVATION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.750052,41.956236,CONSERVATION
PASSED,EL0085,COMPLIED,PERMIT,small,-87.775847,41.957373,ELECTRICAL
FAILED,CN070024,OPEN,COMPLAINT,small,-87.754322,41.898800,CONSERVATION
FAILED,EL0086,OPEN,COMPLAINT,small,-87.684075,41.789888,SPECIAL TASK FORCE
FAILED,CN190019,OPEN,COMPLAINT,small,-87.686045,41.772537,CONSERVATION
PASSED,EL0085,COMPLIED,PERMIT,small,-87.733840,41.864652,ELECTRICAL
FAILED,PL171017,OPEN,COMPLAINT,small,-87.614191,41.765128,PLUMBING
FAILED,CN190019,OPEN,COMPLAINT,small,-87.720797,41.878084,CONSERVATION
FAILED,CN106015,OPEN,COMPLAINT,small,-87.764920,41.900218,CONSERVATION
FAILED,CN073014,OPEN,COMPLAINT,small,-87.733828,41.917181,CONSERVATION
FAILED,NC2071,OPEN,COMPLAINT,small,-87.622669,41.897713,NEW CONSTRUCTION
PASSED,BR2080,COMPLIED,PERIODIC,small,-87.705431,41.923350,BOILER
FAILED,CN103015,OPEN,COMPLAINT,small,-87.655536,41.778319,CONSERVATION
PASSED,CN015022,COMPLIED,COMPLAINT,small,-87.658561,41.949534,SPECIAL INSPECTION PROGRAM
FAILED,CN062024,OPEN,PERIODIC,small,-87.700375,41.937663,CONSERVATION
FAILED,CN065034,OPEN,COMPLAINT,small,-87.588222,41.769787,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.621463,41.709127,CONSERVATION
FAILED,PL156017,OPEN,PERIODIC,small,-87.686843,41.925019,CONSERVATION
FAILED,CN074024,OPEN,COMPLAINT,small,-87.716647,41.960544,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.674671,41.916103,VENTILATION
FAILED,PL151037,OPEN,COMPLAINT,small,-87.555236,41.737933,CONSERVATION
PASSED,VT1010,COMPLIED,PERMIT,small,-87.665595,41.885664,VENTILATION
FAILED,EV1110,OPEN,COMPLAINT,small,-87.636477,41.893048,ELEVATOR
