INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN101015,OPEN,COMPLAINT,small,-87.701422,41.799125,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.593134,41.794128,CONSERVATION
FAILED,CN104035,COMPLIED,COMPLAINT,small,-87.686073,41.784158,CONSERVATION
PASSED,EV1310,COMPLIED,PERIODIC,small,-87.678330,41.995368,ELEVATOR
PASSED,PL153027,COMPLIED,COMPLAINT,small,-87.658254,41.778110,CONSERVATION
FAILED,CN067014,OPEN,COMPLAINT,small,-87.654102,41.779504,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.731074,41.880552,CONSERVATION
FAILED,CN061074,OPEN,COMPLAINT,small,-87.723928,41.902801,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.674570,42.006652,ELEVATOR
PASSED,EV1110,COMPLIED,PERMIT,small,-87.657158,41.877431,ELEVATOR
FAILED,CN105085,OPEN,PERIODIC,small,-87.663907,41.948518,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.695751,41.781504,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.653892,41.797451,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.573602,41.746384,PLUMBING
FAILED,NC2040,OPEN,PERIODIC,small,-87.674369,41.996686,CONSERVATION
FAILED,VT2010,OPEN,COMPLAINT,small,-87.705880,41.997560,VENTILATION
PASSED,EL0085,COMPLIED,PERMIT,small,-87.733840,41.864652,ELECTRICAL
FAILED,EV1110,OPEN,PERIODIC,small,-87.639028,41.935700,ELEVATOR
FAILED,CN138106,OPEN,COMPLAINT,small,-87.674316,41.947529,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.649972,41.754306,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.661799,42.002650,CONSERVATION
PASSED,CN061014,COMPLIED,COMPLAINT,small,-87.666059,41.798258,CONSERVATION
FAILED,CN131026,OPEN,PERIODIC,small,-87.633279,41.764721,CONSERVATION
FAILED,PL231060,OPEN,COMPLAINT,small,-87.716472,41.865665,PLUMBING
FAILED,CN065014,OPEN,PERIODIC,small,-87.627073,41.858756,CONSERVATION
FAILED,EL0096,OPEN,COMPLAINT,small,-87.708736,41.961293,SIGNS
FAILED,CN062034,OPEN,PERIODIC,small,-87.660238,41.772677,CONSERVATION
FAILED,CN105055,OPEN,COMPLAINT,small,-87.671377,41.815670,CONSERVATION
FAILED,CN065024,OPEN,COMPLAINT,small,-87.592822,41.735512,CONSERVATION
PASSED,EL0034,COMPLIED,COMPLAINT,small,-87.759385,41.892149,ELECTRICAL
FAILED,CN196029,OPEN,COMPLAINT,small,-87.660457,41.780692,CONSERVATION
FAILED,CN190020,OPEN,COMPLAINT,small,-87.661799,42.002650,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.659369,41.729219,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.761573,41.877299,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.713704,41.905390,VENTILATION
FAILED,EV1110,OPEN,PERIODIC,small,-87.640450,41.940213,ELEVATOR
FAILED,CN103015,OPEN,COMPLAINT,small,-87.610406,41.696522,CONSERVATION
FAILED,CN104015,OPEN,PERIODIC,small,-87.582485,41.772769,CONSERVATION
FAILED,RF302041,OPEN,PERMIT,small,-87.637095,41.768866,REFRIGERATION
FAILED,CN194029,OPEN,COMPLAINT,small,-87.604507,41.782847,CONSERVATION
FAILED,CN074024,OPEN,COMPLAINT,small,-87.734722,41.916952,CONSERVATION
FAILED,CN066034,OPEN,PERIODIC,small,-87.663843,41.954470,CONSERVATION
FAILED,CN104045,OPEN,COMPLAINT,small,-87.754926,41.796300,CONSERVATION
FAILED,EL0018,OPEN,COMPLAINT,small,-87.636461,41.746424,ELECTRICAL
FAILED,CN190019,OPEN,COMPLAINT,small,-87.762017,41.912133,CONSERVATION
FAILED,CN074014,OPEN,COMPLAINT,small,-87.641055,41.693424,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.727591,41.781870,CONSERVATION
FAILED,NC2021,OPEN,COMPLAINT,small,-87.730214,41.865990,SPECIAL TASK FORCE
FAILED,EL0022,OPEN,PERIODIC,small,-87.694972,41.857509,CONSERVATION
