INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN138056,OPEN,COMPLAINT,small,-87.721823,41.839143,CONSERVATION
PASSED,CN079014,COMPLIED,COMPLAINT,small,-87.716753,41.964016,CONSERVATION
FAILED,EL0029,OPEN,COMPLAINT,small,-87.761262,41.884175,ELECTRICAL
FAILED,CN074014,OPEN,COMPLAINT,small,-87.765530,41.894522,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.708633,41.881052,CONSERVATION
FAILED,CN194029,OPEN,PERIODIC,small,-87.741997,41.931703,VENTILATION
FAILED,CN105055,OPEN,COMPLAINT,small,-87.695931,41.773496,CONSERVATION
PASSED,VT1010,COMPLIED,COMPLAINT,small,-87.695418,41.984700,VENTILATION
FAILED,CN076044,OPEN,COMPLAINT,small,-87.692250,41.776314,CONSERVATION
FAILED,CN066024,OPEN,COMPLAINT,small,-87.621463,41.709127,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.716368,41.892294,CONSERVATION
PASSED,EL0085,COMPLIED,PERMIT,small,-87.632231,41.695317,ELECTRICAL
FAILED,CN065034,OPEN,PERIODIC,small,-87.569587,41.767941,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.785303,41.777508,SPECIAL INSPECTION PROGRAM
FAILED,CN140016,OPEN,PERIODIC,small,-87.565590,41.704317,CONSERVATION
FAILED,EV1110,OPEN,COMPLAINT,small,-87.654657,41.924871,ELEVATOR
FAILED,CN194029,OPEN,PERIODIC,small,-87.736064,41.895073,VENTILATION
FAILED,CN134016,OPEN,COMPLAINT,small,-87.637414,41.769943,CONSERVATION
PASSED,VT1010,COMPLIED,COMPLAINT,small,-87.729752,41.811038,VENTILATION
FAILED,NC5042,OPEN,PERIODIC,small,-87.653479,41.965339,CONSERVATION
FAILED,CN103015,OPEN,COMPLAINT,small,-87.727423,41.855917,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.760307,41.902309,CONSERVATION
FAILED,CN101025,OPEN,COMPLAINT,small,-87.669289,41.747690,CONSERVATION
FAILED,CN073044,OPEN,COMPLAINT,small,-87.706662,41.781543,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.744929,41.927129,CONSERVATION
FAILED,CN062034,OPEN,COMPLAINT,small,-87.708529,41.968341,CONSERVATION
FAILED,CN073014,OPEN,COMPLAINT,small,-87.633451,41.759317,CONSERVATION
FAILED,CN076024,OPEN,COMPLAINT,small,-87.616825,41.757154,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.719061,41.935938,CONSERVATION
FAILED,EV1110,COMPLIED,PERMIT,small,-87.629071,41.874966,ELEVATOR
FAILED,ELWM13,OPEN,PERMIT,small,-87.743905,41.919450,ELECTRICAL
FAILED,CN070024,OPEN,COMPLAINT,small,-87.669005,41.782845,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.814992,41.945219,CONSERVATION
FAILED,PL159057,OPEN,PERIODIC,small,-87.620486,41.835213,CONSERVATION
PASSED,EV1310,COMPLIED,PERMIT,small,-87.623094,41.687285,ELEVATOR
FAILED,VT2030,OPEN,PERMIT,small,-87.686988,41.772861,VENTILATION
FAILED,CN103015,OPEN,PERIODIC,small,-87.604402,41.745695,CONSERVATION
FAILED,CN062034,OPEN,COMPLAINT,small,-87.774004,41.890137,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.669669,41.808073,CONSERVATION
FAILED,CN062034,OPEN,PERIODIC,small,-87.710172,41.938313,CONSERVATION
FAILED,CN135016,OPEN,COMPLAINT,small,-87.634747,41.790956,CONSERVATION
FAILED,CN194029,OPEN,PERIODIC,small,-87.638023,41.933042,VENTILATION
FAILED,CN064014,OPEN,PERIODIC,small,-87.640201,41.763879,CONSERVATION
FAILED,CN074024,OPEN,COMPLAINT,small,-87.710257,41.879492,CONSERVATION
FAILED,CN196039,OPEN,COMPLAINT,small,-87.715047,41.964634,CONSERVATION
FAILED,CN134016,OPEN,COMPLAINT,small,-87.656129,41.836521,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.667770,41.770812,CONSERVATION
FAILED,CN103015,OPEN,COMPLAINT,small,-87.697448,41.884073,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.645789,41.755969,CONSERVATION
PASSED,EV1111,COMPLIED,PERIODIC,small,-87.680205,41.691892,ELEVATOR
FAILED,CN106015,OPEN,COMPLAINT,small,-87.628827,41.904093,SPECIAL TASK FORCE
FAILED,CN190019,OPEN,COMPLAINT,small,-87.841578,41.964206,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.658935,41.769224,CONSERVATION
FAILED,CN131016,OPEN,COMPLAINT,small,-87.648892,41.792115,CONSERVATION
FAILED,CN076024,OPEN,COMPLAINT,small,-87.669999,41.900076,CONSERVATION
FAILED,CN067024,OPEN,COMPLAINT,small,-87.555088,41.747082,CONSERVATION
FAILED,CN073024,OPEN,COMPLAINT,small,-87.631146,41.758287,CONSERVATION
FAILED,RF301011,OPEN,PERIODIC,small,-87.746520,41.926159,REFRIGERATION
FAILED,CN107025,OPEN,COMPLAINT,small,-87.623893,41.732841,CONSERVATION
FAILED,CN104035,COMPLIED,COMPLAINT,small,-87.606384,41.754597,CONSERVATION
FAILED,RF301041,OPEN,PERMIT,small,-87.728662,41.897054,REFRIGERATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.749518,41.885796,CONSERVATION
FAILED,CN012022,OPEN,COMPLAINT,small,-87.682574,41.700820,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.753767,41.879503,CONSERVATION
FAILED,CN190029,OPEN,COMPLAINT,small,-87.612487,41.820190,CONSERVATION
FAILED,CN106015,OPEN,PERIODIC,small,-87.667307,41.990058,CONSERVATION
FAILED,CN066034,OPEN,COMPLAINT,small,-87.749714,41.876617,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.642996,41.896585,ELEVATOR
FAILED,CN070014,OPEN,COMPLAINT,small,-87.725790,41.938171,CONSERVATION
FAILED,CN015062,OPEN,PERIODIC,small,-87.620346,41.898484,CONSERVATION
FAILED,NC2022,OPEN,COMPLAINT,small,-87.606454,41.746208,NEW CONSTRUCTION
