INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN194049,OPEN,COMPLAINT,small,-87.567448,41.759085,SPECIAL INSPECTION PROGRAM
FAILED,CN103015,OPEN,PERIODIC,small,-87.757442,41.865816,CONSERVATION
PASSED,CN070014,COMPLIED,COMPLAINT,small,-87.758155,41.929677,CONSERVATION
FAILED,CN075014,OPEN,COMPLAINT,small,-87.643316,41.765311,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.690893,41.883067,CONSERVATION
FAILED,CN104035,OPEN,COMPLAINT,small,-87.711355,41.853712,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.687742,41.790062,CONSERVATION
FAILED,CN193000,OPEN,COMPLAINT,small,-87.719085,41.861507,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.556419,41.757914,CONSERVATION
FAILED,CN135016,OPEN,COMPLAINT,small,-87.691987,41.850235,CONSERVATION
PASSED,VT1010,COMPLIED,PERMIT,small,-87.654422,41.945543,VENTILATION
FAILED,CN104025,OPEN,COMPLAINT,small,-87.714781,41.885383,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.715047,41.964634,CONSERVATION
FAILED,NC2021,OPEN,COMPLAINT,small,-87.699445,41.821893,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.650731,41.926702,CONSERVATION
FAILED,NC2021,OPEN,COMPLAINT,small,-87.689130,41.811889,CONSERVATION
FAILED,CN063044,OPEN,COMPLAINT,small,-87.754381,41.947523,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.582500,41.773268,CONSERVATION
FAILED,CN069014,OPEN,COMPLAINT,small,-87.667342,41.811395,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.620101,41.759655,CONSERVATION
FAILED,CN104015,COMPLIED,COMPLAINT,small,-87.571445,41.772848,CONSERVATION
FAILED,EV1110,OPEN,COMPLAINT,small,-87.632275,41.883765,ELEVATOR
FAILED,CN079014,OPEN,COMPLAINT,small,-87.716623,41.900327,CONSERVATION
FAILED,EV1111,OPEN,PERMIT,small,-87.616059,41.892559,ELEVATOR
FAILED,CN070014,OPEN,COMPLAINT,small,-87.816600,41.944310,SPECIAL TASK FORCE
FAILED,NC2022,OPEN,COMPLAINT,small,-87.639947,41.659448,NEW CONSTRUCTION
PASSED,VT1010,OPEN,PERMIT,small,-87.649977,41.935331,VENTILATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.773855,41.910329,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.696072,41.906475,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.625709,41.855627,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.620031,41.767988,CONSERVATION
FAILED,CN067014,OPEN,COMPLAINT,small,-87.691956,41.776262,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.653157,41.780285,CONSERVATION
FAILED,EV1110,COMPLIED,PERIODIC,small,-87.639665,41.939222,ELEVATOR
