INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN070024,OPEN,COMPLAINT,small,-87.659244,41.892416,CONSERVATION
FAILED,NC2021,OPEN,COMPLAINT,small,-87.640105,41.816167,NEW CONSTRUCTION
FAILED,EV1110,OPEN,COMPLAINT,small,-87.638547,41.767017,ELEVATOR
PASSED,EL0090,COMPLIED,COMPLAINT,small,-87.692339,41.993464,ELECTRICAL
FAILED,EL0025,OPEN,COMPLAINT,small,-87.632096,41.758226,SPECIAL TASK FORCE
PASSED,CN190019,COMPLIED,PERIODIC,small,-87.791287,41.960019,SPECIAL INSPECTION PROGRAM
FAILED,RF301031,OPEN,PERIODIC,small,-87.801300,41.790044,REFRIGERATION
FAILED,CN074024,OPEN,COMPLAINT,small,-87.666643,41.785387,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.563952,41.751673,CONSERVATION
FAILED,CN108015,OPEN,COMPLAINT,small,-87.640540,41.772430,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.719083,41.851728,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.709384,41.863361,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.602235,41.782153,CONSERVATION
PASSED,EV1110,COMPLIED,PERMIT,small,-87.688659,41.882875,ELEVATOR
FAILED,CN190019,OPEN,PERIODIC,small,-87.707484,41.797204,SPECIAL INSPECTION PROGRAM
FAILED,CN031033,OPEN,COMPLAINT,small,-87.645998,41.832476,CONSERVATION
FAILED,CN041063,OPEN,COMPLAINT,small,-87.706465,41.947130,CONSERVATION
FAILED,CN076044,OPEN,PERIODIC,small,-87.613617,41.767445,CONSERVATION
PASSED,PL151137,OPEN,PERMIT,small,-87.698525,41.867626,PLUMBING
FAILED,CN103015,OPEN,COMPLAINT,small,-87.657112,41.792445,SPECIAL TASK FORCE
FAILED,CN196029,OPEN,COMPLAINT,small,-87.675101,41.799046,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.727506,41.857549,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.619888,41.763418,NEW CONSTRUCTION
PASSED,EL0085,OPEN,PERMIT,small,-87.773467,41.883091,ELECTRICAL
FAILED,EL0029,OPEN,COMPLAINT,small,-87.717726,41.896839,CONSERVATION
FAILED,CN015062,OPEN,COMPLAINT,small,-87.638054,41.783608,CONSERVATION
FAILED,CN063024,OPEN,COMPLAINT,small,-87.689480,41.774832,CONSERVATION
FAILED,CN106015,OPEN,PERIODIC,small,-87.633188,41.883318,SPECIAL INSPECTION PROGRAM
FAILED,CN070024,OPEN,COMPLAINT,small,-87.608789,41.708896,CONSERVATION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.817636,41.939095,CONSERVATION
FAILED,EV1110,COMPLIED,PERMIT,small,-87.652036,41.887122,ELEVATOR
FAILED,CN070024,OPEN,COMPLAINT,small,-87.618934,41.846276,CONSERVATION
FAILED,EL0086,OPEN,COMPLAINT,small,-87.714074,41.956543,SPECIAL TASK FORCE
FAILED,CN073014,OPEN,COMPLAINT,small,-87.683360,41.999544,CONSERVATION
FAILED,EV1110,COMPLIED,PERMIT,small,-87.622194,41.852998,ELEVATOR
FAILED,CN111085,OPEN,COMPLAINT,small,-87.757264,41.880455,SPECIAL TASK FORCE
FAILED,CN197019,OPEN,PERIODIC,small,-87.709589,41.969831,CONSERVATION
FAILED,EV1111,COMPLIED,PERIODIC,small,-87.772930,41.971648,ELEVATOR
FAILED,CN190029,OPEN,PERIODIC,small,-87.671940,42.022634,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.619835,41.684054,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.610456,41.760694,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.618680,41.703233,CONSERVATION
