INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,NC2011,OPEN,COMPLAINT,small,-87.763716,41.775399,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.573867,41.772147,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.665687,41.737488,CONSERVATION
FAILED,199029,OPEN,PERIODIC,small,-87.736003,41.911184,VENTILATION
PASSED,BR2080,COMPLIED,PERIODIC,small,-87.696278,41.852691,BOILER
FAILED,CN197019,OPEN,COMPLAINT,small,-87.745933,41.894362,SPECIAL TASK FORCE
FAILED,PL237014,OPEN,COMPLAINT,small,-87.714074,41.956543,SPECIAL TASK FORCE
FAILED,CN064014,OPEN,COMPLAINT,small,-87.687358,41.920518,CONSERVATION
PASSED,CN190019,COMPLIED,PERIODIC,small,-87.653775,41.934501,SPECIAL INSPECTION PROGRAM
PASSED,BR1010,COMPLIED,PERIODIC,small,-87.653542,41.774274,BOILER
FAILED,EV1111,OPEN,PERIODIC,small,-87.686990,41.907157,ELEVATOR
FAILED,PL168017,OPEN,COMPLAINT,small,-87.668331,41.926262,CONSERVATION
FAILED,CN140016,OPEN,COMPLAINT,small,-87.664580,41.753381,CONSERVATION
FAILED,EV1111,OPEN,PERMIT,small,-87.649270,41.935927,ELEVATOR
FAILED,CN190019,OPEN,COMPLAINT,small,-87.749501,41.892345,CONSERVATION
FAILED,CN131036,OPEN,COMPLAINT,small,-87.721000,41.921919,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.667714,41.933433,NEW CONSTRUCTION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.589486,41.760652,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.691374,41.799639,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.640218,41.919181,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.667760,41.770415,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.648664,41.737335,SPECIAL TASK FORCE
FAILED,CN196029,OPEN,COMPLAINT,small,-87.665472,41.773619,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.581406,41.767433,CONSERVATION
PASSED,VT1010,OPEN,PERMIT,small,-87.709111,42.001408,VENTILATION
FAILED,VT1030,OPEN,PERMIT,small,-87.711766,41.861340,VENTILATION
FAILED,CN061014,OPEN,PERIODIC,small,-87.651147,41.927000,CONSERVATION
FAILED,CN131016,OPEN,COMPLAINT,small,-87.557379,41.738469,CONSERVATION
FAILED,CN062024,OPEN,PERIODIC,small,-87.647332,41.939899,CONSERVATION
FAILED,CN105035,OPEN,COMPLAINT,small,-87.775297,41.904468,CONSERVATION
FAILED,CN070014,OPEN,PERIODIC,small,-87.648212,41.951666,CONSERVATION
FAILED,CN134066,OPEN,COMPLAINT,small,-87.750338,41.926154,CONSERVATION
FAILED,CN015062,OPEN,PERIODIC,small,-87.618375,41.812049,CONSERVATION
FAILED,CN063024,OPEN,COMPLAINT,small,-87.773981,41.901362,CONSERVATION
PASSED,EL0034,COMPLIED,PERMIT,small,-87.689835,41.933714,ELECTRICAL
FAILED,CN070024,OPEN,COMPLAINT,small,-87.724972,41.903761,CONSERVATION
FAILED,CN136016,OPEN,COMPLAINT,small,-87.700500,41.879317,CONSERVATION
FAILED,CN077014,OPEN,COMPLAINT,small,-87.641956,41.855993,CONSERVATION
FAILED,PL161017,OPEN,PERIODIC,small,-87.712302,41.968731,CONSERVATION
FAILED,CN190020,OPEN,COMPLAINT,small,-87.604581,41.812487,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.665940,41.747562,CONSERVATION
FAILED,CN031033,OPEN,PERIODIC,small,-87.665655,41.998224,CONSERVATION
FAILED,CN063024,OPEN,COMPLAINT,small,-87.625524,41.698850,CONSERVATION
FAILED,CN106015,OPEN,COMPLAINT,small,-87.629138,41.774658,CONSERVATION
FAILED,CN107025,OPEN,PERIODIC,small,-87.619297,41.864036,SPECIAL INSPECTION PROGRAM
FAILED,CN061014,OPEN,COMPLAINT,small,-87.631146,41.758287,CONSERVATION
FAILED,CN077014,OPEN,PERIODIC,small,-87.612988,41.773123,SPECIAL INSPECTION PROGRAM
FAILED,CN190019,OPEN,COMPLAINT,small,-87.679523,41.909222,CONSERVATION
FAILED,EL0029,OPEN,COMPLAINT,small,-87.644452,41.772520,SPECIAL TASK FORCE
FAILED,CN138056,OPEN,COMPLAINT,small,-87.614789,41.740756,CONSERVATION
FAILED,CN196029,OPEN,PERIODIC,small,-87.623583,41.849891,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.696365,41.980508,CONSERVATION
FAILED,CN073014,OPEN,COMPLAINT,small,-87.805854,41.950968,CONSERVATION
PASSED,EL0085,COMPLIED,PERMIT,small,-87.653149,41.971713,ELECTRICAL
FAILED,CN138106,OPEN,COMPLAINT,small,-87.714204,41.951814,CONSERVATION
FAILED,CN046013,OPEN,COMPLAINT,small,-87.543124,41.740809,CONSERVATION
FAILED,CN073044,OPEN,COMPLAINT,small,-87.574086,41.769325,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.705726,41.963511,CONSERVATION
FAILED,CN078014,OPEN,COMPLAINT,small,-87.709343,41.887373,SPECIAL INSPECTION PROGRAM
PASSED,PL157047,COMPLIED,COMPLAINT,small,-87.664416,41.973463,CONSERVATION
FAILED,CN073024,OPEN,COMPLAINT,small,-87.597703,41.781557,CONSERVATION
FAILED,PL154027,OPEN,COMPLAINT,small,-87.653074,41.679689,CONSERVATION
FAILED,CN062014,OPEN,COMPLAINT,small,-87.644124,41.926305,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.694463,41.934027,CONSERVATION
FAILED,CN061024,OPEN,COMPLAINT,small,-87.651881,41.914508,CONSERVATION
FAILED,EL0003,OPEN,COMPLAINT,small,-87.605210,41.745080,SPECIAL TASK FORCE
FAILED,CN103025,OPEN,COMPLAINT,small,-87.671282,41.823760,SPECIAL TASK FORCE
