INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN105035,OPEN,PERIODIC,small,-87.646986,41.776450,SPECIAL INSPECTION PROGRAM
FAILED,CN061014,OPEN,COMPLAINT,small,-87.753800,41.947760,CONSERVATION
FAILED,CN105055,OPEN,PERIODIC,small,-87.747459,41.876865,CONSERVATION
FAILED,EL0084,OPEN,PERMIT,small,-87.663932,41.949310,ELECTRICAL
FAILED,CN197019,OPEN,COMPLAINT,small,-87.654558,41.766757,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.648457,41.768889,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.709674,41.823311,NEW CONSTRUCTION
FAILED,CN197079,OPEN,COMPLAINT,small,-87.638593,41.842811,CONSERVATION
FAILED,CN197087,OPEN,PERIODIC,small,-87.625488,41.846199,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.662822,41.934200,VENTILATION
FAILED,CN105035,OPEN,COMPLAINT,small,-87.551340,41.747753,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.751840,41.876589,CONSERVATION
FAILED,CN194029,OPEN,COMPLAINT,small,-87.701794,41.815736,SPECIAL TASK FORCE
FAILED,CN190019,OPEN,COMPLAINT,small,-87.645776,41.679781,PLUMBING
FAILED,CN190019,OPEN,PERIODIC,small,-87.687562,41.996888,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.634525,41.909916,VENTILATION
FAILED,CN015062,OPEN,COMPLAINT,small,-87.613330,41.686314,CONSERVATION
FAILED,CN105055,OPEN,COMPLAINT,small,-87.674960,41.852299,CONSERVATION
FAILED,PL164037,OPEN,COMPLAINT,small,-87.779198,41.923290,CONSERVATION
FAILED,CN076054,OPEN,COMPLAINT,small,-87.597986,41.749424,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.705675,41.899095,CONSERVATION
PASSED,EL0085,COMPLIED,PERMIT,small,-87.647594,41.931398,ELECTRICAL
FAILED,CN073014,OPEN,PERIODIC,small,-87.729562,41.941319,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.615809,41.683864,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.644135,41.930833,ELEVATOR
FAILED,PL237014,OPEN,COMPLAINT,small,-87.563574,41.715718,SPECIAL TASK FORCE
FAILED,PL152047,OPEN,COMPLAINT,small,-87.618680,41.703233,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.724622,41.970871,CONSERVATION
FAILED,PL171027,OPEN,COMPLAINT,small,-87.682013,41.910509,PLUMBING
FAILED,RF302041,OPEN,PERIODIC,small,-87.646716,41.940126,REFRIGERATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.764748,41.907432,CONSERVATION
FAILED,NC2071,OPEN,COMPLAINT,small,-87.749845,41.947580,CONSERVATION
FAILED,CN196019,OPEN,COMPLAINT,small,-87.705463,41.872893,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.692157,41.816747,CONSERVATION
FAILED,CN074024,OPEN,COMPLAINT,small,-87.765200,41.944180,CONSERVATION
FAILED,CN061014,COMPLIED,PERIODIC,small,-87.663317,41.739973,CONSERVATION
FAILED,CN103015,OPEN,COMPLAINT,small,-87.641523,41.753314,SPECIAL TASK FORCE
FAILED,CN107025,OPEN,PERIODIC,small,-87.714692,41.902879,SPECIAL INSPECTION PROGRAM
FAILED,VT1010,OPEN,PERMIT,small,-87.631384,41.896198,VENTILATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.711464,41.850981,SPECIAL TASK FORCE
FAILED,EL0023,OPEN,COMPLAINT,small,-87.665089,41.858610,ELECTRICAL
FAILED,CN070024,OPEN,COMPLAINT,small,-87.702820,41.886574,SPECIAL INSPECTION PROGRAM
FAILED,CN197019,OPEN,COMPLAINT,small,-87.641209,41.941072,CONSERVATION
FAILED,RF301041,OPEN,PERMIT,small,-87.757918,41.796518,REFRIGERATION
FAILED,NC2021,OPEN,COMPLAINT,small,-87.649910,41.927365,CONSERVATION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.706851,41.998541,CONSERVATION
FAILED,CN067024,OPEN,COMPLAINT,small,-87.720921,41.806165,CONSERVATION
FAILED,EL0091,OPEN,COMPLAINT,small,-87.556163,41.738258,ELECTRICAL
FAILED,CN197087,OPEN,COMPLAINT,small,-87.653490,41.793209,CONSERVATION
FAILED,CN190029,OPEN,PERIODIC,small,-87.672173,41.944944,CONSERVATION
FAILED,EV1111,COMPLIED,PERIODIC,small,-87.653653,41.930918,ELEVATOR
FAILED,CN196029,OPEN,COMPLAINT,small,-87.641224,41.707048,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.602496,41.747337,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.615814,41.781866,CONSERVATION
FAILED,CN197079,OPEN,COMPLAINT,small,-87.745551,41.891920,CONSERVATION
PASSED,VT1010,COMPLIED,PERMIT,small,-87.789095,41.787268,VENTILATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.642897,41.772610,SPECIAL TASK FORCE
FAILED,NC2022,OPEN,COMPLAINT,small,-87.703976,41.854722,NEW CONSTRUCTION
FAILED,EV1111,OPEN,PERIODIC,small,-87.644746,41.946343,ELEVATOR
FAILED,PL237020,OPEN,COMPLAINT,small,-87.725139,41.879877,SPECIAL TASK FORCE
FAILED,CN190019,OPEN,COMPLAINT,small,-87.621984,41.829512,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.665717,41.824659,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.630055,41.767361,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.719320,41.958187,CONSERVATION
FAILED,CN105035,OPEN,PERIODIC,small,-87.671689,41.884568,CONSERVATION
FAILED,CN197079,COMPLIED,COMPLAINT,small,-87.795168,41.952655,CONSERVATION
FAILED,EL0003,OPEN,COMPLAINT,small,-87.656869,41.736934,SPECIAL TASK FORCE
FAILED,CN196029,OPEN,COMPLAINT,small,-87.612998,41.777531,CONSERVATION
FAILED,CN062014,OPEN,COMPLAINT,small,-87.613213,41.684104,CONSERVATION
FAILED,PL157047,OPEN,COMPLAINT,small,-87.697448,41.884073,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.729117,41.881893,CONSERVATION
FAILED,CN103015,OPEN,COMPLAINT,small,-87.632034,41.796957,CONSERVATION
FAILED,CN071024,OPEN,COMPLAINT,small,-87.610406,41.696522,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.691956,41.776262,CONSERVATION
FAILED,NC2021,OPEN,COMPLAINT,small,-87.769381,41.900356,NEW CONSTRUCTION
FAILED,CN190029,OPEN,COMPLAINT,small,-87.729780,41.734784,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.645863,41.935668,CONSERVATION
FAILED,CN015012,OPEN,COMPLAINT,small,-87.714004,41.954158,CONSERVATION
FAILED,CN104055,OPEN,PERIODIC,small,-87.702002,41.999832,CONSERVATION
FAILED,CN065034,OPEN,PERIODIC,small,-87.607566,41.806197,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.666852,41.747099,CONSERVATION
FAILED,PL237020,OPEN,COMPLAINT,small,-87.595201,41.811245,SPECIAL TASK FORCE
FAILED,CN061014,OPEN,PERIODIC,small,-87.663877,41.808509,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.767795,41.898262,CONSERVATION
FAILED,EL0020,OPEN,PERIODIC,small,-87.656198,41.925942,CONSERVATION
FAILED,PL161027,OPEN,COMPLAINT,small,-87.662133,42.005632,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.714872,41.912946,SPECIAL TASK FORCE
FAILED,CN063014,OPEN,COMPLAINT,small,-87.757742,41.960706,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.627078,41.701382,CONSERVATION
FAILED,EL0096,OPEN,COMPLAINT,small,-87.708188,41.961297,SIGNS
FAILED,PL155027,OPEN,COMPLAINT,small,-87.729215,41.877824,SPECIAL TASK FORCE
FAILED,CN061034,OPEN,COMPLAINT,small,-87.594698,41.724426,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.648006,41.828759,CONSERVATION
PASSED,EL0085,COMPLIED,PERMIT,small,-87.747930,41.896044,ELECTRICAL
FAILED,CN131016,OPEN,COMPLAINT,small,-87.621721,41.760204,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.672555,41.904535,CONSERVATION
FAILED,CN063014,OPEN,COMPLAINT,small,-87.654972,41.694826,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.651846,41.776607,SPECIAL TASK FORCE
FAILED,CN131016,OPEN,COMPLAINT,small,-87.629138,41.774658,CONSERVATION
FAILED,CN062024,OPEN,PERIODIC,small,-87.649782,41.926022,CONSERVATION
FAILED,NC2022,OPEN,COMPLAINT,large,-87.652019,41.913611,NEW CONSTRUCTION
FAILED,CN132016,OPEN,COMPLAINT,small,-87.658935,41.769224,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.609582,41.819557,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.616550,41.727014,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.747229,41.885829,SPECIAL TASK FORCE
FAILED,CN067024,OPEN,COMPLAINT,large,-87.764529,41.898616,CONSERVATION
PASSED,NC2021,COMPLIED,COMPLAINT,small,-87.698990,41.809592,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.680178,41.896668,ELEVATOR
FAILED,CN131016,OPEN,COMPLAINT,small,-87.649468,41.836306,CONSERVATION
PASSED,EV1110,COMPLIED,PERIODIC,small,-87.569834,41.773434,ELEVATOR
FAILED,CN064014,OPEN,PERIODIC,small,-87.565206,41.753763,CONSERVATION
FAILED,EL0001,OPEN,COMPLAINT,small,-87.638573,41.757533,ELECTRICAL
FAILED,CN073044,OPEN,COMPLAINT,small,-87.707624,41.775140,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.771657,41.880589,CONSERVATION
FAILED,EV1110,COMPLIED,PERMIT,small,-87.622194,41.852998,ELEVATOR
FAILED,CN070024,OPEN,COMPLAINT,small,-87.654639,41.837259,CONSERVATION
FAILED,CN131026,OPEN,PERIODIC,small,-87.676015,41.853900,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.772370,41.892799,CONSERVATION
FAILED,NC2011,OPEN,PERIODIC,small,-87.722150,41.971464,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.603213,41.774331,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.668031,41.780692,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.714830,41.929576,CONSERVATION
FAILED,CN102015,OPEN,COMPLAINT,small,-87.741099,41.774542,CONSERVATION
PASSED,CN046013,COMPLIED,COMPLAINT,small,-87.716207,41.862952,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.726071,41.860249,SPECIAL TASK FORCE
FAILED,VT1050,OPEN,PERIODIC,small,-87.721786,41.916282,VENTILATION
FAILED,PL159057,OPEN,COMPLAINT,small,-87.575073,41.760054,PLUMBING
FAILED,CN067014,OPEN,COMPLAINT,small,-87.698558,41.748951,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.743608,41.776953,CONSERVATION
FAILED,CN138056,OPEN,PERIODIC,small,-87.719069,41.860952,CONSERVATION
FAILED,PL171017,OPEN,COMPLAINT,small,-87.610039,41.755448,SPECIAL TASK FORCE
FAILED,CN194039,OPEN,COMPLAINT,small,-87.568493,41.744321,SPECIAL TASK FORCE
