INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,VT1010,OPEN,COMPLAINT,small,-87.623975,41.898949,VENTILATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.573744,41.767488,CONSERVATION
FAILED,CN064014,OPEN,COMPLAINT,small,-87.620094,41.770355,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.627829,41.894991,ELEVATOR
FAILED,CN196029,OPEN,PERIODIC,small,-87.642876,41.930321,CONSERVATION
FAILED,CN065034,OPEN,COMPLAINT,small,-87.662889,41.781402,CONSERVATION
FAILED,EV1111,COMPLIED,PERMIT,small,-87.665970,41.840837,ELEVATOR
FAILED,CN190019,OPEN,COMPLAINT,small,-87.760736,41.893445,SPECIAL TASK FORCE
FAILED,CN197087,OPEN,COMPLAINT,small,-87.566003,41.719451,SPECIAL TASK FORCE
FAILED,VT1010,OPEN,PERMIT,small,-87.710615,41.844550,VENTILATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.722996,41.908987,CONSERVATION
FAILED,CN131026,OPEN,COMPLAINT,small,-87.576374,41.720311,CONSERVATION
FAILED,PL171027,OPEN,COMPLAINT,small,-87.609791,41.783276,SPECIAL TASK FORCE
PASSED,EV1111,COMPLIED,PERMIT,small,-87.665970,41.840837,ELEVATOR
FAILED,EV1110,OPEN,PERIODIC,small,-87.640559,41.942171,ELEVATOR
FAILED,CN079014,OPEN,COMPLAINT,small,-87.611955,41.722039,CONSERVATION
FAILED,CN101015,OPEN,PERIODIC,small,-87.685379,41.847979,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.723230,41.923810,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.754534,41.916975,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.727259,41.811865,CONSERVATION
PASSED,VT1010,OPEN,PERMIT,small,-87.766684,41.939649,VENTILATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.684718,41.945165,CONSERVATION
FAILED,PL232050,OPEN,COMPLAINT,small,-87.773296,41.908459,PLUMBING
FAILED,EL0085,OPEN,PERMIT,small,-87.775847,41.957373,ELECTRICAL
FAILED,CN197019,OPEN,COMPLAINT,small,-87.690051,42.017238,CONSERVATION
FAILED,CN017012,OPEN,PERIODIC,small,-87.701859,41.892093,SPECIAL INSPECTION PROGRAM
FAILED,CN106015,OPEN,PERIODIC,small,-87.754974,41.873894,CONSERVATION
PASSED,EV1111,COMPLIED,PERIODIC,small,-87.669428,41.808452,ELEVATOR
FAILED,PL162017,OPEN,COMPLAINT,small,-87.554195,41.748518,SPECIAL TASK FORCE
FAILED,CN107025,OPEN,PERIODIC,small,-87.685620,41.845953,SPECIAL INSPECTION PROGRAM
PASSED,BR1001,COMPLIED,PERIODIC,small,-87.657525,41.720251,BOILER
FAILED,EL0096,OPEN,COMPLAINT,small,-87.801902,41.923436,SIGNS
PASSED,VT1010,COMPLIED,PERMIT,small,-87.686227,41.878944,VENTILATION
FAILED,CN076044,OPEN,COMPLAINT,small,-87.734497,41.883813,CONSERVATION
FAILED,CN103035,OPEN,COMPLAINT,small,-87.537603,41.652271,CONSERVATION
FAILED,EL0018,COMPLIED,COMPLAINT,small,-87.623837,41.680880,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.632702,41.788952,CONSERVATION
