INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN105055,OPEN,COMPLAINT,small,-87.698262,41.773085,CONSERVATION
FAILED,EV1110,COMPLIED,PERMIT,small,-87.620534,41.853651,ELEVATOR
FAILED,EV1110,OPEN,PERIODIC,small,-87.745784,41.900564,ELEVATOR
FAILED,CN196029,OPEN,COMPLAINT,small,-87.698810,41.822813,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.641048,41.843466,CONSERVATION
FAILED,CN132046,OPEN,COMPLAINT,small,-87.620499,41.682113,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.693500,41.911364,CONSERVATION
PASSED,VT1010,OPEN,PERMIT,small,-87.651127,41.919415,VENTILATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.798421,41.923683,CONSERVATION
FAILED,CN031033,OPEN,PERIODIC,small,-87.669733,41.988725,CONSERVATION
FAILED,CN074014,OPEN,COMPLAINT,small,-87.646476,41.857078,SPECIAL TASK FORCE
FAILED,CN104015,OPEN,COMPLAINT,small,-87.713640,41.915393,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.764430,41.872086,ELEVATOR
FAILED,CN107015,OPEN,COMPLAINT,small,-87.583502,41.765051,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.669108,41.985712,ELEVATOR
FAILED,CN136026,OPEN,PERIODIC,small,-87.583812,41.765642,CONSERVATION
PASSED,EL0025,COMPLIED,COMPLAINT,small,-87.729547,41.960054,ELECTRICAL
FAILED,CN190019,OPEN,COMPLAINT,small,-87.610287,41.765964,CONSERVATION
FAILED,CN074024,OPEN,COMPLAINT,small,-87.781683,41.950366,CONSERVATION
FAILED,CN077014,OPEN,COMPLAINT,small,-87.771599,41.960536,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.709343,41.887373,SPECIAL INSPECTION PROGRAM
FAILED,CN077014,OPEN,COMPLAINT,small,-87.672272,41.814818,CONSERVATION
FAILED,EV1111,OPEN,PERMIT,small,-87.639806,41.885830,ELEVATOR
FAILED,CN015062,OPEN,COMPLAINT,small,-87.656099,41.742576,CONSERVATION
FAILED,CN197079,OPEN,COMPLAINT,small,-87.700587,41.780285,CONSERVATION
FAILED,CN074024,OPEN,COMPLAINT,small,-87.616853,41.770601,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.689786,41.962248,CONSERVATION
FAILED,NC2071,OPEN,COMPLAINT,small,-87.716865,41.836357,CONSERVATION
FAILED,CN104075,OPEN,COMPLAINT,small,-87.615844,41.783181,CONSERVATION
FAILED,VT1010,OPEN,COMPLAINT,small,-87.785067,41.777511,VENTILATION
FAILED,NC2071,OPEN,COMPLAINT,small,-87.591547,41.762478,SPECIAL TASK FORCE
PASSED,ELSW02,COMPLIED,PERMIT,small,-87.661160,41.965027,ELECTRICAL
PASSED,VT1010,COMPLIED,PERMIT,small,-87.642609,41.878108,VENTILATION
FAILED,CN021053,OPEN,PERIODIC,small,-87.624504,41.881803,SPECIAL INSPECTION PROGRAM
FAILED,CN196029,OPEN,COMPLAINT,small,-87.537848,41.702635,CONSERVATION
FAILED,CN103035,OPEN,COMPLAINT,small,-87.745933,41.894362,SPECIAL TASK FORCE
FAILED,CN021053,OPEN,PERIODIC,small,-87.622792,41.893251,SPECIAL INSPECTION PROGRAM
FAILED,VT1010,OPEN,PERMIT,small,-87.614526,41.778872,VENTILATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.729320,41.940749,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.657112,41.792445,SPECIAL TASK FORCE
FAILED,CN061014,OPEN,PERIODIC,small,-87.685464,42.019387,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.722783,41.961056,CONSERVATION
FAILED,CN015062,OPEN,COMPLAINT,small,-87.596834,41.800814,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.668691,41.936406,VENTILATION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.710485,41.907225,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.744025,41.925380,CONSERVATION
