INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN190019,OPEN,COMPLAINT,small,-87.681507,41.707431,CONSERVATION
FAILED,CN073024,OPEN,COMPLAINT,small,-87.565896,41.738661,CONSERVATION
FAILED,CN103015,OPEN,COMPLAINT,small,-87.557737,41.726229,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.747587,41.892363,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.610456,41.760694,CONSERVATION
FAILED,CN074024,OPEN,COMPLAINT,small,-87.710020,41.853150,CONSERVATION
FAILED,CN074024,OPEN,COMPLAINT,small,-87.589896,41.758623,CONSERVATION
FAILED,PL157047,OPEN,COMPLAINT,small,-87.658935,41.769224,CONSERVATION
FAILED,CN015012,OPEN,COMPLAINT,small,-87.662575,41.804456,CONSERVATION
FAILED,CN070034,OPEN,COMPLAINT,small,-87.615514,41.769776,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.652242,41.954411,CONSERVATION
FAILED,VT3020,OPEN,COMPLAINT,small,-87.625165,41.898262,VENTILATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.718735,41.939308,SPECIAL INSPECTION PROGRAM
FAILED,CN105015,OPEN,COMPLAINT,small,-87.657754,41.806052,CONSERVATION
FAILED,CN140026,OPEN,PERIODIC,small,-87.754974,41.873894,CONSERVATION
FAILED,EL0023,OPEN,COMPLAINT,small,-87.782657,41.953993,CONSERVATION
PASSED,EV1111,COMPLIED,PERIODIC,small,-87.557320,41.760915,ELEVATOR
PASSED,EL0085,COMPLIED,COMPLAINT,small,-87.765136,41.966685,ELECTRICAL
FAILED,CN105085,OPEN,COMPLAINT,small,-87.728646,41.903653,CONSERVATION
FAILED,PL171027,OPEN,COMPLAINT,small,-87.654752,41.783673,PLUMBING
FAILED,CN077014,OPEN,COMPLAINT,small,-87.651800,41.729714,CONSERVATION
FAILED,CN190020,OPEN,COMPLAINT,small,-87.769744,41.882064,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.744235,41.878163,CONSERVATION
FAILED,CN105085,OPEN,COMPLAINT,small,-87.735497,41.883137,CONSERVATION
FAILED,EL0010,OPEN,COMPLAINT,small,-87.609508,41.770886,ELECTRICAL
FAILED,CN062024,OPEN,COMPLAINT,small,-87.724256,41.838817,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.658033,41.988972,CONSERVATION
FAILED,CN197079,OPEN,PERIODIC,small,-87.655130,41.975333,CONSERVATION
FAILED,CN069014,OPEN,COMPLAINT,small,-87.743412,41.917983,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.648833,41.789730,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.731491,41.907469,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.683239,41.919822,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.732138,41.896501,CONSERVATION
FAILED,VT1010,OPEN,COMPLAINT,small,-87.721294,41.863622,VENTILATION
FAILED,EV1110,COMPLIED,PERMIT,small,-87.622565,41.888000,ELEVATOR
FAILED,CN074014,OPEN,COMPLAINT,small,-87.566259,41.743580,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.642817,41.756241,CONSERVATION
FAILED,CN196029,COMPLIED,COMPLAINT,small,-87.571445,41.772848,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.712719,41.749474,CONSERVATION
FAILED,PL157047,OPEN,COMPLAINT,small,-87.661008,41.790754,CONSERVATION
FAILED,CN065014,OPEN,COMPLAINT,small,-87.684694,41.901761,CONSERVATION
FAILED,CN063014,OPEN,COMPLAINT,small,-87.588051,41.766440,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.642865,41.947338,ELEVATOR
FAILED,PL157017,OPEN,COMPLAINT,small,-87.661961,41.780501,SPECIAL TASK FORCE
FAILED,CN132016,OPEN,COMPLAINT,small,-87.724256,41.838817,CONSERVATION
FAILED,EL0025,OPEN,COMPLAINT,small,-87.572121,41.748222,ELECTRICAL
FAILED,CN074014,OPEN,COMPLAINT,small,-87.606429,41.756365,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.614197,41.777453,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.805226,41.933627,CONSERVATION
PASSED,EV1110,COMPLIED,PERMIT,small,-87.766684,41.939649,ELEVATOR
FAILED,CN079014,OPEN,COMPLAINT,small,-87.599865,41.774592,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.707552,41.902934,CONSERVATION
FAILED,CN074014,OPEN,COMPLAINT,small,-87.775552,41.957321,CONSERVATION
FAILED,PL171017,OPEN,COMPLAINT,small,-87.735408,41.874615,SPECIAL TASK FORCE
FAILED,CN196029,OPEN,COMPLAINT,small,-87.629775,41.758976,CONSERVATION
FAILED,CN021053,OPEN,PERIODIC,small,-87.599501,41.791521,SPECIAL INSPECTION PROGRAM
FAILED,CN104015,OPEN,COMPLAINT,small,-87.716710,41.863762,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.698810,41.822813,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.710713,41.785114,CONSERVATION
FAILED,PL161027,OPEN,COMPLAINT,small,-87.554195,41.748518,SPECIAL TASK FORCE
FAILED,CN070024,OPEN,COMPLAINT,small,-87.632242,41.817607,CONSERVATION
PASSED,EV1760,COMPLIED,PERMIT,large,-87.624309,41.884540,ELEVATOR
FAILED,CN070024,OPEN,PERIODIC,small,-87.585312,41.797182,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.545914,41.734509,CONSERVATION
PASSED,CN101015,COMPLIED,COMPLAINT,small,-87.582727,41.750542,CONSERVATION
PASSED,VT1030,COMPLIED,PERMIT,small,-87.672220,41.977157,VENTILATION
FAILED,CN107035,OPEN,COMPLAINT,small,-87.645843,41.778681,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.556545,41.744161,CONSERVATION
FAILED,CN104035,OPEN,COMPLAINT,small,-87.680745,41.961525,CONSERVATION
PASSED,VT1010,COMPLIED,PERMIT,small,-87.682573,41.900475,VENTILATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.586539,41.742256,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.733828,41.917181,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.749896,41.909687,CONSERVATION
FAILED,CN076044,OPEN,COMPLAINT,small,-87.651587,41.755393,CONSERVATION
FAILED,EV1110,COMPLIED,PERMIT,small,-87.622194,41.852998,ELEVATOR
FAILED,CN197079,OPEN,PERIODIC,small,-87.728857,41.883435,CONSERVATION
FAILED,CN076064,OPEN,COMPLAINT,small,-87.646783,41.682458,SPECIAL TASK FORCE
PASSED,EV1111,COMPLIED,PERMIT,small,-87.606782,41.892292,ELEVATOR
FAILED,CN190019,OPEN,COMPLAINT,small,-87.685363,41.812169,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.584372,41.756025,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.672363,41.806823,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.728496,41.943262,CONSERVATION
FAILED,CN065034,OPEN,COMPLAINT,small,-87.681579,42.000141,CONSERVATION
PASSED,EV1110,COMPLIED,PERIODIC,small,-87.641541,41.943250,ELEVATOR
PASSED,EV1110,COMPLIED,PERIODIC,small,-87.685657,41.847381,ELEVATOR
FAILED,CN076044,OPEN,COMPLAINT,small,-87.732212,41.940159,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.595384,41.803307,ELEVATOR
FAILED,CN062024,OPEN,COMPLAINT,small,-87.653409,41.778632,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.761955,41.910420,SPECIAL TASK FORCE
FAILED,CN070024,OPEN,COMPLAINT,small,-87.681758,41.884446,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.719125,41.902166,CONSERVATION
FAILED,CN031023,OPEN,PERIODIC,small,-87.768302,41.881103,CONSERVATION
FAILED,EV1110,COMPLIED,PERIODIC,small,-87.657731,41.994475,ELEVATOR
FAILED,PL171027,OPEN,COMPLAINT,small,-87.729215,41.877824,SPECIAL TASK FORCE
FAILED,CN062034,OPEN,COMPLAINT,small,-87.623949,41.707268,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.619835,41.684054,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.734751,41.940066,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.684861,41.941424,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.711015,41.884520,SPECIAL TASK FORCE
FAILED,VT1010,OPEN,PERMIT,small,-87.670483,41.954534,VENTILATION
FAILED,EL0033,OPEN,COMPLAINT,small,-87.612856,41.759958,ELECTRICAL
FAILED,EV1111,OPEN,PERIODIC,small,-87.698485,41.984965,ELEVATOR
FAILED,CN135016,OPEN,PERIODIC,small,-87.582112,41.761652,CONSERVATION
FAILED,PL157047,OPEN,COMPLAINT,small,-87.708827,41.918994,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.655709,41.761282,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.768930,41.895798,CONSERVATION
FAILED,CN073044,OPEN,COMPLAINT,small,-87.590165,41.768635,CONSERVATION
FAILED,CN105035,OPEN,PERIODIC,small,-87.585033,41.801777,CONSERVATION
FAILED,PL171017,OPEN,COMPLAINT,small,-87.722774,41.898941,SPECIAL TASK FORCE
FAILED,CN070024,OPEN,COMPLAINT,small,-87.588051,41.766440,CONSERVATION
FAILED,CN135016,OPEN,COMPLAINT,small,-87.643062,41.754371,CONSERVATION
FAILED,CN064014,OPEN,COMPLAINT,small,-87.736538,41.877062,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.687338,41.818717,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.714074,41.956543,SPECIAL TASK FORCE
FAILED,CN063044,OPEN,COMPLAINT,small,-87.672082,41.807483,CONSERVATION
FAILED,CN074014,OPEN,COMPLAINT,small,-87.590350,41.769541,CONSERVATION
PASSED,RF301051,COMPLIED,PERMIT,small,-87.695023,41.930521,REFRIGERATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.763714,41.933339,CONSERVATION
FAILED,CN197079,OPEN,PERIODIC,small,-87.611749,41.782022,CONSERVATION
FAILED,EV1110,OPEN,COMPLAINT,small,-87.659017,41.887785,ELEVATOR
FAILED,CN198019,OPEN,COMPLAINT,small,-87.690030,41.784549,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.678495,41.688167,PLUMBING
FAILED,EL0095,OPEN,COMPLAINT,small,-87.723668,41.852460,ELECTRICAL
FAILED,CN190029,OPEN,PERIODIC,small,-87.625876,41.862932,CONSERVATION
PASSED,VT1010,COMPLIED,PERMIT,small,-87.722150,41.971464,VENTILATION
PASSED,CN070024,COMPLIED,COMPLAINT,small,-87.657977,41.733187,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.638547,41.756428,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.702298,41.898442,CONSERVATION
FAILED,CN077044,OPEN,COMPLAINT,small,-87.667234,41.796707,CONSERVATION
FAILED,EL0095,OPEN,COMPLAINT,small,-87.551097,41.729533,SPECIAL TASK FORCE
FAILED,CN079014,OPEN,COMPLAINT,small,-87.703402,41.747530,CONSERVATION
FAILED,CN134026,OPEN,COMPLAINT,small,-87.721216,41.861002,CONSERVATION
FAILED,CN136026,OPEN,COMPLAINT,small,-87.600332,41.738423,CONSERVATION
PASSED,VT1010,OPEN,PERMIT,small,-87.624381,41.896791,VENTILATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.734722,41.916952,CONSERVATION
FAILED,EV1110,COMPLIED,PERMIT,small,-87.679551,41.926340,ELEVATOR
FAILED,CN065034,OPEN,COMPLAINT,small,-87.695782,41.908300,CONSERVATION
FAILED,CN138106,OPEN,COMPLAINT,small,-87.711376,41.880805,SPECIAL TASK FORCE
PASSED,VT1010,OPEN,PERMIT,small,-87.672762,41.912271,VENTILATION
FAILED,CN076044,OPEN,COMPLAINT,small,-87.698694,41.788911,CONSERVATION
FAILED,CN076054,OPEN,COMPLAINT,small,-87.715933,41.940951,CONSERVATION
FAILED,EV1110,OPEN,COMPLAINT,small,-87.622619,41.891070,ELEVATOR
FAILED,CN102015,OPEN,COMPLAINT,small,-87.725517,41.879873,SPECIAL TASK FORCE
FAILED,CN138106,OPEN,COMPLAINT,small,-87.619002,41.845369,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.692364,41.780581,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.756441,41.896641,CONSERVATION
FAILED,CN067014,COMPLIED,COMPLAINT,large,-87.722477,41.902048,CONSERVATION
FAILED,CN110105,OPEN,COMPLAINT,small,-87.692645,41.852052,CONSERVATION
FAILED,NC3012,OPEN,PERIODIC,small,-87.649027,41.928848,CONSERVATION
FAILED,EL0018,OPEN,COMPLAINT,small,-87.666911,41.784297,ELECTRICAL
FAILED,CN196029,COMPLIED,COMPLAINT,small,-87.581554,41.763220,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.712267,41.846671,CONSERVATION
FAILED,CN073014,OPEN,PERIODIC,small,-87.648409,41.831499,CONSERVATION
PASSED,BR2080,COMPLIED,PERIODIC,small,-87.702241,41.873842,BOILER
FAILED,EL0027,OPEN,PERIODIC,small,-87.622964,41.692695,CONSERVATION
FAILED,CN076054,OPEN,PERIODIC,small,-87.749103,41.917004,CONSERVATION
FAILED,CN138106,OPEN,COMPLAINT,small,-87.694252,41.936747,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.692806,41.761835,CONSERVATION
FAILED,EV1110,COMPLIED,PERIODIC,small,-87.654523,41.882283,ELEVATOR
PASSED,CN063024,COMPLIED,COMPLAINT,small,-87.621658,41.833212,CONSERVATION
FAILED,CN131016,OPEN,COMPLAINT,small,-87.615731,41.673674,CONSERVATION
PASSED,VT1010,OPEN,PERMIT,small,-87.642935,41.768754,VENTILATION
FAILED,CN067014,OPEN,COMPLAINT,small,-87.678567,41.684450,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.692105,41.985857,CONSERVATION
FAILED,CN064014,OPEN,COMPLAINT,small,-87.702841,41.869968,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.625667,41.901711,ELEVATOR
FAILED,CN061014,OPEN,COMPLAINT,small,-87.690651,41.772959,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.686035,41.815134,CONSERVATION
FAILED,CN073014,OPEN,COMPLAINT,small,-87.728068,41.883929,SPECIAL TASK FORCE
FAILED,CN015062,OPEN,COMPLAINT,small,-87.575081,41.771793,CONSERVATION
FAILED,CN197087,OPEN,COMPLAINT,small,-87.757264,41.880455,SPECIAL TASK FORCE
FAILED,CN062024,OPEN,COMPLAINT,small,-87.734294,41.925335,CONSERVATION
FAILED,PL171017,COMPLIED,COMPLAINT,small,-87.677611,41.903295,SPECIAL TASK FORCE
FAILED,CN190019,OPEN,COMPLAINT,small,-87.676988,41.898810,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.767680,41.931368,CONSERVATION
FAILED,CN063014,OPEN,COMPLAINT,small,-87.565925,41.712236,CONSERVATION
FAILED,PL157047,OPEN,COMPLAINT,small,-87.668031,41.780692,CONSERVATION
FAILED,CN190029,OPEN,PERIODIC,small,-87.700375,41.937663,CONSERVATION
FAILED,RF301051,OPEN,PERMIT,small,-87.769843,41.925596,REFRIGERATION
FAILED,CN061064,OPEN,COMPLAINT,small,-87.610407,41.822813,CONSERVATION
FAILED,CN063024,OPEN,COMPLAINT,small,-87.604595,41.733301,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.747324,41.921860,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.614172,41.764448,CONSERVATION
FAILED,CN062024,OPEN,PERIODIC,small,-87.836759,41.976942,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.639681,41.720006,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.559217,41.762835,PLUMBING
FAILED,CN076034,OPEN,COMPLAINT,small,-87.802450,41.951024,CONSERVATION
FAILED,CN074024,OPEN,PERIODIC,small,-87.711296,41.931579,CONSERVATION
FAILED,CN065014,OPEN,COMPLAINT,small,-87.705129,41.852492,SPECIAL INSPECTION PROGRAM
FAILED,CN104025,OPEN,COMPLAINT,small,-87.674084,41.780667,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.722408,41.887649,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.579061,41.759104,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.685840,41.909850,VENTILATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.624274,41.746930,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.733828,41.917181,CONSERVATION
FAILED,NC2022,OPEN,COMPLAINT,small,-87.775345,41.982119,NEW CONSTRUCTION
FAILED,CN104035,OPEN,COMPLAINT,small,-87.767604,41.967130,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.536643,41.720123,CONSERVATION
FAILED,CN136016,OPEN,COMPLAINT,small,-87.662676,41.794173,SPECIAL INSPECTION PROGRAM
FAILED,NC2011,OPEN,COMPLAINT,small,-87.670108,41.824860,CONSERVATION
FAILED,CN198019,OPEN,COMPLAINT,small,-87.727360,41.734944,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.634444,41.907182,NEW CONSTRUCTION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.704402,41.950615,CONSERVATION
FAILED,CN136026,OPEN,COMPLAINT,small,-87.713988,41.872792,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.698812,41.925789,NEW CONSTRUCTION
FAILED,CN138106,OPEN,COMPLAINT,small,-87.733703,41.916190,CONSERVATION
FAILED,CN104015,OPEN,PERIODIC,small,-87.774507,41.880033,CONSERVATION
FAILED,CN197087,OPEN,PERIODIC,small,-87.706009,41.963112,CONSERVATION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.688059,41.767263,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.648221,41.765858,SPECIAL TASK FORCE
FAILED,VT1010,OPEN,PERMIT,small,-87.569753,41.770766,VENTILATION
FAILED,CN190019,COMPLIED,COMPLAINT,small,-87.771543,41.880081,SPECIAL TASK FORCE
FAILED,CN077014,OPEN,COMPLAINT,small,-87.681507,41.707431,CONSERVATION
FAILED,CN103015,OPEN,COMPLAINT,small,-87.706890,41.779022,SPECIAL TASK FORCE
FAILED,CN070014,OPEN,COMPLAINT,small,-87.635640,41.783430,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.784310,41.943963,CONSERVATION
FAILED,CN061014,OPEN,COMPLAINT,large,-87.718887,41.891651,CONSERVATION
FAILED,CN106015,OPEN,COMPLAINT,small,-87.664420,41.781721,CONSERVATION
FAILED,EV1110,OPEN,PERIODIC,small,-87.656757,41.706882,ELEVATOR
FAILED,CN197087,OPEN,COMPLAINT,small,-87.613424,41.684102,CONSERVATION
FAILED,CN107035,OPEN,COMPLAINT,small,-87.769833,41.931337,CONSERVATION
FAILED,CN077014,OPEN,COMPLAINT,small,-87.721893,41.866326,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.612705,41.766014,SPECIAL TASK FORCE
FAILED,CN046013,OPEN,COMPLAINT,small,-87.556381,41.758444,CONSERVATION
FAILED,CN015062,OPEN,COMPLAINT,small,-87.608820,41.808676,CONSERVATION
FAILED,CN073014,OPEN,COMPLAINT,small,-87.722100,41.969585,CONSERVATION
FAILED,CN101015,OPEN,COMPLAINT,small,-87.674333,41.779420,CONSERVATION
FAILED,CN032035,OPEN,PERIODIC,small,-87.676892,41.908769,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.721025,41.903896,CONSERVATION
PASSED,EV1110,COMPLIED,PERMIT,small,-87.640837,41.936680,ELEVATOR
FAILED,CN077024,OPEN,COMPLAINT,small,-87.604538,41.730970,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.561084,41.742618,CONSERVATION
FAILED,CN077014,OPEN,PERIODIC,small,-87.666696,42.006784,CONSERVATION
FAILED,CN197087,OPEN,PERIODIC,small,-87.667443,41.999835,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.581802,41.750551,NEW CONSTRUCTION
FAILED,NC2071,OPEN,COMPLAINT,small,-87.729903,41.920675,CONSERVATION
FAILED,CN138106,OPEN,COMPLAINT,small,-87.557093,41.736426,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.659000,41.777836,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.674084,41.780667,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.805539,42.000445,CONSERVATION
FAILED,NC2021,OPEN,PERIODIC,small,-87.582973,41.764374,CONSERVATION
FAILED,VT2020,OPEN,COMPLAINT,small,-87.692129,41.975027,VENTILATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.735583,41.793827,CONSERVATION
FAILED,CN075014,OPEN,COMPLAINT,small,-87.671281,41.952118,CONSERVATION
PASSED,EV1111,COMPLIED,PERMIT,small,-87.662904,41.939890,ELEVATOR
FAILED,CN197019,OPEN,COMPLAINT,small,-87.760851,41.940582,CONSERVATION
FAILED,EL0096,OPEN,COMPLAINT,small,-87.585827,41.769129,SIGNS
FAILED,NC5062,OPEN,PERIODIC,small,-87.656391,41.980859,CONSERVATION
FAILED,CN190029,OPEN,PERIODIC,small,-87.664830,41.797819,CONSERVATION
FAILED,CN190019,OPEN,PERIODIC,small,-87.599802,41.795646,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.601672,41.750495,CONSERVATION
FAILED,EV1110,OPEN,PERIODIC,small,-87.745784,41.900564,ELEVATOR
PASSED,BR1001,COMPLIED,PERIODIC,small,-87.686038,41.938157,BOILER
FAILED,CN070014,OPEN,COMPLAINT,small,-87.772741,41.900476,SPECIAL TASK FORCE
FAILED,CN061014,OPEN,COMPLAINT,small,-87.545771,41.652793,CONSERVATION
FAILED,CN197089,OPEN,PERIODIC,small,-87.589224,41.800852,CONSERVATION
FAILED,CN074014,OPEN,COMPLAINT,small,-87.748348,41.893383,CONSERVATION
FAILED,CN104015,OPEN,COMPLAINT,small,-87.627138,41.682598,CONSERVATION
FAILED,EL0096,OPEN,COMPLAINT,small,-87.623611,41.851024,SIGNS
FAILED,CN073014,OPEN,COMPLAINT,small,-87.599275,41.778403,CONSERVATION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.676474,41.856852,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.744025,41.925380,CONSERVATION
PASSED,CN061034,COMPLIED,COMPLAINT,small,-87.652978,41.969223,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.638629,41.759723,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.570827,41.717776,CONSERVATION
FAILED,PL194029,OPEN,COMPLAINT,small,-87.761604,41.886258,SPECIAL TASK FORCE
FAILED,CN190019,OPEN,COMPLAINT,small,-87.686820,41.900717,CONSERVATION
FAILED,CN070024,OPEN,PERIODIC,small,-87.664455,41.968225,CONSERVATION
